Entity;Code;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Nepal;�;1,9;1,9;2;1,8;1,9;1,8;1,8;1,8;1,8;1,9;1,8;2;2,1;2,6;3,4;4;5,1;6,1;5,9;6,4;7;7,7;9,4;10,4;9,3;10,2;11,9;11,7;12,8;15,6;15,3;15,2;15,1;15,5;15,3;14,7;14,4
Pakistan;60;25,5;23,3;24,6;26;27,8;26,4;25,8;27,6;26;23,6;22,3;20,7;19,5;18,1;20,3;22,6;24,4;26,5;28;29,4;27,9;27,5;30,3;34,5;36,3;36,6;40,8;44;45,7;51,4;51,3;44,7;44;49,1;42,9;35,1;40,8
Sri Lanka;61;10,3;7,8;11,4;16,9;19,7;21;25,5;43,9;43,3;38,7;39,8;33,6;43;34,7;29;27,2;30,9;32;39;51,6;73,5;73,5;73,6;83,7;70;75,3;89,2;95,1;79,8;84,8;73,9;69,9;66,1;68;44;50,9;57,9
China;55;...;10;8,7;8,4;10,4;10,4;8,2;10,2;11,6;12,7;13,7;16,3;17,6;20,8;23,6;25,7;29,2;32,8;39,2;47;59,3;72,2;78,3;92,4;106,4;119,4;131,6;141,1;141,8;149,4;164,2;169,1;181;200,4;204,7;208,4;220,7
Japan;56;230,9;227,9;233,8;265,2;290;331,8;362,1;398,1;350,1;322,2;299,4;340,4;358,6;320,6;308,8;333;354,9;346,4;324,8;316,5;361,8;401,5;426,3;474,1;468,8;383,5;367,5;330,6;365,4;354,4;382,2;400,4;406,1;425,3;344,7;386,5;445,5
North Korea;57;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,1;35,6;37,3;62;...;...;...;...;...;...
South Korea;58;181,4;219,1;230,7;247,1;260,8;276,5;300,4;355,5;360,8;324,3;226,9;260,8;296;275,9;298,9;334,2;374,5;463,8;525,4;576,5;540,2;507,3;579,2;633,9;647,3;688,5;746,5;720,3;720,5;762,1;835,1;852,9;889,8;980,4;895;923,5;919,5
Mongolia;;...;...;...;50,8;14,9;6,2;7,2;9,2;9,2;7,9;8,3;7,4;9,9;9,4;10,2;9,7;11;11,7;15,2;21,8;25,5;14,2;20,5;32;41;36,7;36,5;34,6;32;28,5;28,1;29,4;29,3;29,3;26,7;32,7;52,4
Taiwan;��104;353,4;400,5;424,3;449,9;482,3;552,8;562,1;534,8;544,1;519,6;420,1;395,3;394,9;356,6;334,6;330,3;345;351,6;334,4;355,2;388,8;394,5;391,8;430,1;450,5;426;418,1;417,1;410,2;443,8;444,2;464,5;508;589,2;650,3;699,4;708,2
Brunei;�12;752,7;762,8;917,3;947,6;946,2;856,9;931,9;992,1;1113,1;1222,1;951,4;817,8;756,1;659,6;671,2;709,5;569,7;698,3;810,6;880,5;967,9;918;1004,4;1048,9;1020,5;1010;1274,8;1009,6;949,1;806,3;822,3;942,6;981;1007,4;960;982,3;1211,7
